atoll_code,atoll_label,collection_mvr,expenditure_mvr,net_flow_mvr,collection_share_pct,expenditure_share_pct
K,"K. (Kaafu)",2501525401.38,199464301.83,2302061099.55,34.98,7.53
ADh,"ADh. (Alif Dhaal)",760994136.31,109921259.80,651072876.51,10.64,4.15
R,"R. (Raa)",647879245.46,214814139.39,433065106.07,9.06,8.11
B,"B. (Baa)",483984874.15,157565970.66,326418903.49,6.77,5.95
AA,"AA. (Alif Alif)",475348337.94,186264598.63,289083739.31,6.65,7.03
Lh,"Lh. (Lhaviyani)",451526149.00,82359600.48,369166548.52,6.31,3.11
Dh,"Dh. (Dhaalu)",447885885.65,2883075.00,445002810.65,6.26,0.11
N,"N. (Noonu)",394779584.62,247510238.56,147269346.06,5.52,9.34
V,"V. (Vaavu)",159121484.13,99729903.17,59391580.96,2.23,3.76
Male,"Malé City",157007222.42,0.00,157007222.42,2.20,0.00
GA,"GA. (Gaafu Alif)",156226465.01,61081428.59,95145036.42,2.18,2.31
GDh,"GDh. (Gaafu Dhaalu)",88646468.25,113389533.82,-24743065.57,1.24,4.28
HA,"HA. (Haa Alif)",74848254.33,241159219.45,-166310965.12,1.05,9.10
HDh,"HDh. (Haa Dhaalu)",71878497.42,81898955.34,-10020457.92,1.01,3.09
M,"M. (Meemu)",61037907.25,68243887.59,-7205980.34,0.85,2.58
Sh,"Sh. (Shaviyani)",58753812.74,363617722.44,-304863909.70,0.82,13.72
L,"L. (Laamu)",58303575.82,30915222.61,27388353.21,0.82,1.17
S,"S. (Addu)",57027007.88,52934337.50,4092670.38,0.80,2.00
Th,"Th. (Thaa)",27145664.06,133002118.79,-105856454.73,0.38,5.02
F,"F. (Faafu)",14004455.34,134358866.00,-120354410.66,0.20,5.07
Gn,"Gn. (Fuvahmulah)",3421878.77,68611272.29,-65189393.52,0.05,2.59
